"Table 4. Electric power industry capacity by primary energy source, 1990 through 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megawatts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2018
..Solar- PV,61.2,39.4,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Wood,236.0,236.0,236.0,236.0,236.0,236.0,83.0,83.0,83.0,83.0,83.0,83.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8
IPP and CHP,"5,659.4","5,288.9","4,294.1","4,253.5","4,230.9","4,226.7","4,222.5","4,685.9","4,679.5","4,657.1","4,651.9","4,620.0","4,486.0","4,513.0","4,934.0","4,127.0","4,386.0","4,325.0","4,017.0","3,415.0","3,434.0","3,439.0","3,609.0","3,328.0","3,332.0","2,983.0","2,913.0","1,835.0","1,404.0",20.5,19.4,19.1
Coal,566.0,564.0,586.4,705.3,730.9,743.1,771.3,"1,247.6","1,273.9","1,190.2","1,186.4","1,189.0","1,188.0","1,197.0","1,327.0","1,328.0","1,328.0","1,353.0","1,589.0","1,106.0","1,122.0","1,150.0","1,119.0",925.0,894.0,894.0,913.0,462.0,373.0,8.1,5.3,1.9
Hydroelectric,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.2,21.2,21.0,21.0,22.0,22.0,21.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,18.0,18.0,13.0,0.1,0.1,0.1
Natural gas,"3,695.4","3,349.8","2,561.6","2,483.2","2,345.0","2,334.4","2,458.3","2,451.9","2,458.9","2,460.1","2,454.1","2,440.0","2,414.0","2,433.0","2,654.0","1,844.0","2,094.0","1,589.0","1,649.0","1,638.0","1,637.0",832.0,"1,805.0","1,805.0","1,805.0","1,544.0","1,474.0",698.0,531.0,8.4,10.2,12.5
..Natural gas - CC,"2,742.1","2,752.6","1,986.8","1,912.2","1,816.2","1,816.2","1,939.3","1,932.9","1,939.9","1,948.2","1,948.2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.3
..Natural gas - GT,883.0,532.0,532.0,532.0,517.0,517.0,517.0,517.0,517.0,509.9,503.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3.0
..Natural gas - IC,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..Natural gas - ST,69.0,63.9,41.5,39.0,11.8,1.2,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Other,0.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other biomass,313.3,313.3,313.3,311.7,305.1,302.4,302.4,294.6,289.7,277.7,269.3,254.0,170.0,168.0,168.0,168.0,168.0,168.0,219.0,210.0,212.0,218.0,218.0,163.0,163.0,159.0,153.0,150.0,147.0,1.1,1.2,1.1
Petroleum,389.9,391.0,389.3,389.8,390.4,387.3,388.7,390.0,387.7,381.8,381.8,381.0,363.0,363.0,359.0,361.0,361.0,361.0,186.0,17.0,17.0,823.0,17.0,15.0,15.0,15.0,6.0,159.0,0.0,0.9,1.6,1.3
..Petroleum - GT,351.5,352.6,350.9,351.4,352.0,348.9,347.3,348.6,345.1,338.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.2
..Petroleum - IC,38.4,38.4,38.4,38.4,38.4,38.4,41.4,41.4,42.6,43.8,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1
Solar,331.3,307.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
..Solar- PV,331.3,307.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
Wood,342.1,342.1,342.1,342.1,342.1,342.1,280.4,280.4,247.9,326.1,339.1,335.0,330.0,330.0,404.0,404.0,414.0,402.0,354.0,424.0,424.0,396.0,429.0,399.0,433.0,349.0,349.0,349.0,340.0,1.8,1.0,1.2
Total electric industry,"29,634.8","27,660.1","26,621.6","25,181.6","26,292.4","24,827.8","24,848.6","24,684.9","24,109.0","23,788.0","23,475.6","22,992.0","22,648.0","22,599.0","22,481.0","21,171.0","20,202.0","20,086.0","19,625.0","18,727.0","18,749.0","18,732.0","18,373.0","17,627.0","17,096.0","17,038.0","16,933.0","15,488.0","15,065.0",100.0,100.0,100.0
Coal,"3,780.0","3,778.0","3,800.4","4,379.3","5,541.9","5,554.1","5,976.3","5,848.1","5,867.9","5,777.2","5,773.4","5,794.0","5,774.0","5,783.0","5,795.0","5,733.0","6,117.0","6,137.0","6,385.0","6,205.0","6,221.0","6,249.0","6,218.0","6,376.0","5,111.0","5,111.0","5,130.0","4,672.0","4,598.0",32.5,24.3,12.8
Hydroelectric,866.0,866.0,866.0,866.0,866.0,866.0,866.2,866.2,866.2,715.9,676.7,675.0,671.0,672.0,782.0,780.0,757.0,758.0,762.0,759.0,764.0,761.0,762.0,763.0,786.0,787.0,781.0,782.0,778.0,3.9,3.6,2.9
Natural gas,"14,552.0","12,621.4","11,800.2","9,893.2","9,755.0","8,270.7","8,167.6","8,162.6","7,580.6","7,535.8","7,350.8","6,869.0","6,809.0","6,828.0","6,754.0","5,558.0","4,191.0","3,707.0","3,526.0","2,955.0","2,955.0","2,226.0","2,670.0","2,800.0","2,205.0","2,139.0","1,810.0",833.0,661.0,18.0,31.4,49.1
..Natural gas - CC,"9,233.4","7,658.9","6,860.1","5,414.4","5,318.4","3,846.2","3,969.3","3,962.9","3,380.9","3,367.2","3,367.2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,31.2
..Natural gas - GT,"4,245.3","3,894.3","3,894.3","3,894.1","3,879.1","3,877.6","3,877.6","3,879.0","3,879.0","3,847.9","3,662.9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,14.3
..Natural gas - IC,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..Natural gas - ST,"1,072.0","1,066.9","1,044.5",584.7,557.5,546.9,320.7,320.7,320.7,320.7,320.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.6
Nuclear,"3,568.0","3,568.0","3,568.0","3,568.0","3,568.0","3,581.3","3,562.0","3,539.0","3,501.0","3,404.0","3,404.0","3,404.0","3,432.0","3,432.0","3,440.0","3,467.0","3,467.0","3,467.0","3,467.0","3,392.0","3,392.0","3,392.0","3,392.0","3,392.0","3,349.0","3,349.0","3,349.0","3,382.0","3,382.0",17.7,14.5,12.0
Other,0.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,206.0,206.0,206.0,129.0,129.0,0.0,0.0,0.0,257.0,62.0,62.0,1.0,0.0,0.0
Other biomass,314.3,314.3,314.3,312.7,306.1,303.4,303.4,294.6,289.7,277.7,269.3,254.0,170.0,168.0,168.0,168.0,168.0,168.0,219.0,210.0,212.0,218.0,218.0,163.0,163.0,159.0,153.0,150.0,147.0,1.1,1.2,1.1
Petroleum,"2,342.9","2,346.6","2,350.0","2,343.3","2,340.3","2,337.2","2,368.7","2,370.0","2,431.7","2,427.3","2,418.3","2,418.0","2,386.0","2,390.0","2,437.0","2,422.0","2,442.0","2,541.0","2,362.0","2,231.0","2,231.0","3,016.0","2,210.0","1,390.0","2,705.0","2,799.0","2,759.0","2,912.0","2,752.0",12.0,10.1,7.9
..Petroleum - GT,624.5,625.6,626.0,626.5,627.1,624.0,622.4,623.7,684.2,677.1,677.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.1
..Petroleum - IC,142.4,145.0,148.0,140.8,137.2,137.2,142.3,142.3,143.5,146.2,137.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5
..Petroleum - ST,"1,576.0","1,576.0","1,576.0","1,576.0","1,576.0","1,576.0","1,604.0","1,604.0","1,604.0","1,604.0","1,604.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,5.3
Pumped storage,"3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,241.0","3,161.0","3,161.0","2,997.0","2,917.0","2,700.0","2,638.0","2,645.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0","2,345.0",11.9,13.4,10.9
Solar,392.5,346.7,103.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
..Solar- PV,392.5,346.7,103.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
Wood,578.1,578.1,578.1,578.1,578.1,578.1,363.4,363.4,330.9,409.1,422.1,418.0,410.0,409.0,404.0,404.0,414.0,402.0,354.0,424.0,424.0,396.0,429.0,399.0,433.0,349.0,349.0,349.0,340.0,1.8,1.4,2.0
"Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
