"Table 5. Electric power industry generation by primary energy source, 1990 through 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2018
..Petroleum - OTH,"125,049","11,384","14,258","142,295","155,518","3,229","9,128","32,614","22,486","50,360","16,758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
..Petroleum - ST,"300,164","159,878","263,328","568,849","437,455","175,511","215,229","293,574","815,854","519,383","768,936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.1,0.3
Pumped storage,"-1,291,976","-1,277,795","-1,162,636","-1,036,382","-1,295,354","-1,189,000","-1,365,574","-1,469,539","-1,490,602","-1,334,709","-1,637,688","-1,620,283","-1,167,444","-1,420,823","-1,166,111","-1,498,159","-1,988,835","-2,240,077","-1,340,991","-1,227,757","-955,440","-863,791","-829,603","-768,394","-742,235","-774,085","-664,933","-1,037,665","-833,669",-1.7,-2.0,-1.4
Solar,"141,367","109,229","4,996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,11,33,34,0.0,0.0,0.1
..Solar- PV,"141,367","109,229","4,996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Wood,"1,204,218","1,176,283","1,254,766","1,198,607","1,128,627","669,861","341,173","405,112","422,794","440,576","506,781","459,154","482,711","540,332","50,690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,1.3
IPP and CHP,"23,130,533","19,465,983","16,330,496","16,838,521","14,170,524","13,171,706","14,550,834","13,342,195","14,064,402","10,856,698","12,898,129","14,043,775","11,893,186","13,486,965","13,796,387","13,503,073","12,125,526","11,969,252","11,346,651","8,826,540","8,384,878","9,529,343","10,362,207","10,268,551","9,316,640","9,061,605","7,388,762","5,788,441","5,363,959",14.7,19.3,24.2
Coal,"813,489","727,678","893,986","1,208,327","1,775,088","1,424,994","1,607,523","2,637,918","4,093,636","3,174,650","5,997,202","5,995,261","5,734,471","6,621,551","7,883,021","7,947,628","6,983,074","7,112,480","5,796,761","3,701,049","3,404,469","4,483,521","4,551,836","4,054,195","4,141,711","4,687,521","3,549,016","2,882,365","2,899,721",7.5,5.6,0.9
Hydroelectric,"68,602","60,014","80,496","86,724","73,580","83,007","74,416","78,574","75,576","82,518","63,581","65,911","80,487","93,201","92,936","111,776","27,842","40,659","62,370","61,613","72,312","80,707","89,335","77,372","75,286","66,095","72,131","67,981","48,136",0.1,0.1,0.1
Natural gas,"17,931,041","15,484,922","11,892,144","11,883,098","8,834,318","8,869,755","10,329,179","8,270,215","7,425,280","4,853,295","3,964,532","4,956,232","3,434,359","3,880,291","2,461,538","1,928,392","2,258,525","2,065,429","2,813,477","2,039,874","2,038,080","588,096","2,809,049","3,550,863","2,529,147","2,238,431","1,298,200","626,447","376,521",3.6,10.2,18.8
..Natural gas - CC,"16,128,415","14,298,874","10,683,004","10,943,323","8,261,098","8,464,914","9,934,657","8,004,709","7,001,058","4,530,885","3,542,043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.6,16.9
..Natural gas - GT,"1,121,468","583,187","654,070","447,697","265,295","139,614","225,071","169,198","347,437","259,441","368,633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.2
..Natural gas - IC,"1,582","1,356",791,0,0,0,0,0,17,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
..Natural gas - ST,"679,576","601,504","554,279","492,077","307,925","265,227","169,451","96,307","76,767","62,958","53,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.7
Other,"471,227","213,322","461,826","461,553","499,767","474,767","396,689","470,239","414,121","420,042","434,205","476,945","491,019","478,834","488,023","452,936","446,923","396,806","2,476","1,828","1,987","2,261","2,333","7,689","5,621","4,026",484,0,0,0.0,0.6,0.5
Other biomass,"1,169,315","903,606","1,101,848","1,099,390","1,092,185","955,276","918,748","776,112","815,345","709,203","782,172","773,245","678,408","695,203","699,237","673,814","663,350","598,967","464,454","1,071,609","1,059,387","1,053,131","898,655","696,511","652,962","427,508","759,915","701,130","620,794",0.6,1.1,1.2
Other gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,959",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Petroleum,"258,105","147,258","153,110","256,910","269,420","87,552","129,663","108,247","258,935","349,250","246,931","443,009","177,112","455,524","489,202","798,022","337,890","606,805","529,944","327,711","271,454","1,912,320","591,951","481,154","516,304","342,913","430,041","317,518","244,114",0.7,0.4,0.3
..Petroleum - GT,"131,505","78,641","104,874","151,714","178,256","42,259","75,720","32,535","55,592","31,251","38,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1
..Petroleum - IC,"24,940","24,346","23,099","26,127","20,556","7,669","11,970","5,182","27,885","15,696","39,205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
..Petroleum - OTH,"45,464","5,044","12,501","63,996","53,598","3,119",862,"23,438","96,733","212,045","117,470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0
..Petroleum - ST,"56,196","39,228","12,635","15,072","17,010","34,506","41,111","47,092","78,724","90,258","51,755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1
Solar,"621,705","203,992","15,912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7
..Solar- PV,"621,705","203,992","15,912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7
Wood,"1,797,049","1,725,191","1,731,175","1,842,520","1,626,166","1,276,356","1,094,616","1,000,891","981,510","1,267,740","1,409,507","1,333,172","1,297,332","1,262,361","1,682,430","1,587,545","1,407,922","1,148,106","1,677,170","1,622,857","1,537,190","1,409,307","1,419,047","1,400,767","1,395,609","1,295,112","1,278,975","1,193,000","1,174,673",2.2,1.3,1.9
Total electric industry,"95,506,976","90,417,351","92,554,876","84,411,592","77,137,438","76,896,565","70,739,235","66,670,859","72,966,456","70,082,066","72,678,531","78,360,507","73,069,537","78,943,045","78,900,040","75,309,420","75,005,651","74,104,744","77,189,371","73,897,608","72,199,443","68,515,334","66,895,125","62,996,021","62,048,926","61,243,511","56,352,355","54,729,096","52,564,458",100.0,100.0,100.0
Coal,"9,266,276","10,726,422","16,499,412","17,231,426","20,818,584","21,160,501","14,180,795","19,881,113","25,459,221","25,599,288","31,776,356","35,420,746","34,288,141","35,424,875","35,656,006","37,093,331","38,082,381","37,769,916","39,761,317","35,444,523","34,875,766","34,159,932","32,481,847","28,497,065","26,590,655","29,410,002","26,225,034","24,821,392","23,899,901",51.5,34.9,9.7
Hydroelectric,"1,764,860","1,116,355","1,471,462","1,158,428","955,188","1,253,670","1,043,774","1,210,389","1,500,182","1,478,630","1,010,993","1,248,264","1,351,194","1,484,353","1,583,050","1,781,569","868,216","1,014,222","711,984","681,686","1,283,296","1,020,276","1,428,502","995,026","1,146,116","1,313,303","1,089,975","1,080,055","1,309,499",0.9,2.1,1.8
Natural gas,"50,158,156","44,507,088","40,904,843","33,284,216","20,881,566","22,651,167","25,037,749","18,332,373","16,999,125","12,201,384","9,315,083","10,903,840","7,215,450","8,294,770","6,437,809","4,619,066","4,386,927","4,196,069","4,653,327","4,639,481","4,236,745","1,880,050","3,932,746","5,431,845","4,681,139","4,378,066","2,475,689","1,730,887","1,134,810",6.0,23.3,52.5
..Natural gas - CC,"44,683,820","40,973,592","36,332,598","29,434,546","18,296,102","20,100,991","23,060,360","16,706,723","13,579,198","10,898,352","7,779,517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.6,46.8
..Natural gas - GT,"4,049,042","2,519,889","3,217,214","3,087,961","1,844,269","2,116,074","1,592,842","1,335,898","3,011,802","1,084,024","1,260,822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.1,4.2
..Natural gas - IC,"3,263","3,235","4,547",675,102,0,0,0,17,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
..Natural gas - ST,"1,422,030","1,010,372","1,350,485","761,034","741,092","434,102","384,547","289,752","408,108","218,997","274,687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,1.5
Nuclear,"29,251,668","30,553,734","29,731,895","28,060,358","30,220,977","29,326,231","28,723,390","25,547,997","26,571,899","28,212,252","27,930,764","27,268,475","27,593,516","27,918,481","28,315,294","24,816,022","27,346,163","25,759,130","28,321,091","28,300,643","27,234,399","27,084,059","26,286,283","25,134,831","25,428,856","22,688,763","23,334,340","23,886,268","23,820,152",36.7,36.4,30.6
Other,"471,227","213,322","461,826","461,553","499,767","474,767","396,689","470,239","414,121","420,042","434,205","476,945","491,019","478,834","488,023","452,936","446,923","396,806","2,476","1,828","1,987","2,261","2,333","7,689","5,621","4,026",484,0,0,0.0,0.6,0.5
Other biomass,"1,172,015","907,404","1,105,805","1,103,032","1,097,011","959,725","922,654","789,638","815,345","709,203","782,172","773,245","678,408","695,203","699,237","673,814","663,350","598,967","464,454","1,071,609","1,059,387","1,053,131","898,655","696,511","652,962","427,508","759,915","701,130","620,794",0.6,1.1,1.2
Other gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,959",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Petroleum,"950,411","456,125","535,420","1,107,835","1,204,907","313,288","363,968","502,646","1,292,861","1,087,660","1,150,360","2,096,949","839,212","4,264,659","5,153,612","5,780,336","3,792,604","5,461,605","2,938,544","3,362,739","2,926,114","2,770,109","1,275,314","1,600,678","2,890,192","2,500,809","1,852,865","2,353,996","1,438,264",3.8,1.8,1.0
..Petroleum - GT,"395,936","214,759","207,389","288,040","517,166","87,901","84,314","98,686","245,168","193,508","148,767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.4
..Petroleum - IC,"27,602","25,833","25,309","29,582","24,160","9,022","13,324","7,242","33,895","22,108","46,673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
..Petroleum - OTH,"170,513","16,428","26,759","206,291","209,116","6,348","9,990","56,052","119,219","262,404","134,229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.2
..Petroleum - ST,"356,361","199,105","275,964","583,921","454,465","210,017","256,340","340,666","894,578","609,641","820,691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.2,0.4
Pumped storage,"-1,291,976","-1,277,795","-1,162,636","-1,036,382","-1,295,354","-1,189,000","-1,365,574","-1,469,539","-1,490,602","-1,334,709","-1,637,688","-1,620,283","-1,167,444","-1,420,823","-1,166,111","-1,498,159","-1,988,835","-2,240,077","-1,340,991","-1,227,757","-955,440","-863,791","-829,603","-768,394","-742,235","-774,085","-664,933","-1,037,665","-833,669",-1.7,-2.0,-1.4
Solar,"763,072","313,221","20,908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,11,33,34,0.0,0.0,0.8
..Solar- PV,"763,072","313,221","20,908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8
Wood,"3,001,267","2,901,475","2,985,941","3,041,126","2,754,793","1,946,217","1,435,790","1,406,003","1,404,304","1,708,316","1,916,288","1,792,326","1,780,043","1,802,693","1,733,120","1,587,545","1,407,922","1,148,106","1,677,170","1,622,857","1,537,190","1,409,307","1,419,047","1,400,767","1,395,609","1,295,112","1,278,975","1,193,000","1,174,673",2.2,1.9,3.1
"Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Note: Totals may not equal sum of components because of independent rounding.
Source: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
